ProductID,Warehouse,CurrentStock,MinimumStock,MaximumStock,SafetyStock,ReorderPoint,LeadTimeDays,SupplierID,LastRestocked,InventoryStatus,StockUtilisation,DaysSinceRestock
P0145,Chennai WH,115,22,169,15,37,8,SUP025,2025-12-18,Healthy,68.05,214
P0146,Coimbatore WH,41,22,221,23,45,8,SUP019,2025-11-20,Reorder Required,18.55,242
P0147,Madurai WH,2,39,307,22,61,9,SUP008,2025-12-05,Reorder Required,0.65,227
P0148,Coimbatore WH,153,22,170,29,51,6,SUP015,2025-12-18,Healthy,90.0,214
P0149,Madurai WH,116,25,201,10,35,10,SUP002,2025-11-02,Healthy,57.71,260
P0150,Coimbatore WH,46,15,182,18,33,5,SUP006,2025-11-02,Healthy,25.27,260
P0151,Coimbatore WH,164,22,172,26,48,5,SUP013,2025-12-18,Healthy,95.35,214
P0152,Coimbatore WH,214,30,265,11,41,9,SUP023,2025-11-20,Healthy,80.75,242
P0153,Coimbatore WH,189,40,193,14,54,4,SUP021,2025-11-20,Healthy,97.93,242
P0154,Coimbatore WH,71,17,224,21,38,5,SUP018,2025-12-05,Healthy,31.7,227
P0155,Coimbatore WH,37,34,186,11,45,3,SUP025,2025-12-05,Reorder Required,19.89,227
P0156,Madurai WH,116,22,125,13,35,10,SUP020,2025-11-20,Healthy,92.8,242
P0157,Chennai WH,88,19,120,16,35,6,SUP003,2025-12-18,Healthy,73.33,214
P0158,Coimbatore WH,254,32,275,26,58,10,SUP021,2025-11-02,Healthy,92.36,260
P0159,Chennai WH,109,25,259,22,47,6,SUP002,2025-12-18,Healthy,42.08,214
P0160,Coimbatore WH,120,21,202,30,51,7,SUP005,2025-12-18,Healthy,59.41,214
P0161,Chennai WH,39,27,190,20,47,5,SUP012,2025-11-02,Reorder Required,20.53,260
P0162,Coimbatore WH,5,26,133,13,39,10,SUP020,2025-12-18,Reorder Required,3.76,214
P0163,Chennai WH,167,16,212,30,46,9,SUP006,2025-11-02,Healthy,78.77,260
P0164,Madurai WH,113,39,200,19,58,9,SUP021,2025-11-20,Healthy,56.5,242
P0165,Madurai WH,123,21,201,28,49,8,SUP023,2025-11-20,Healthy,61.19,242
P0166,Chennai WH,187,35,270,25,60,8,SUP015,2025-12-05,Healthy,69.26,227
P0167,Madurai WH,111,31,159,12,43,5,SUP002,2025-11-20,Healthy,69.81,242
P0168,Chennai WH,84,27,185,25,52,6,SUP007,2025-11-02,Healthy,45.41,260
P0169,Coimbatore WH,63,20,196,29,49,5,SUP005,2025-12-18,Healthy,32.14,214
P0170,Chennai WH,1,31,181,22,53,9,SUP024,2025-12-18,Reorder Required,0.55,214
P0171,Chennai WH,63,37,186,29,66,6,SUP016,2025-11-20,Reorder Required,33.87,242
P0172,Chennai WH,143,25,222,16,41,9,SUP018,2025-11-20,Healthy,64.41,242
P0173,Chennai WH,216,35,284,22,57,5,SUP011,2025-11-02,Healthy,76.06,260
P0174,Madurai WH,111,26,180,27,53,3,SUP011,2025-12-05,Healthy,61.67,227
P0175,Madurai WH,9,40,260,13,53,3,SUP023,2025-10-15,Reorder Required,3.46,278
P0176,Coimbatore WH,33,27,143,12,39,5,SUP021,2025-11-02,Reorder Required,23.08,260
P0177,Chennai WH,113,23,183,17,40,6,SUP002,2025-10-15,Healthy,61.75,278
P0178,Chennai WH,141,31,211,16,47,10,SUP023,2025-11-02,Healthy,66.82,260
P0179,Chennai WH,121,38,291,25,63,10,SUP014,2025-10-15,Healthy,41.58,278
P0180,Chennai WH,37,29,290,12,41,8,SUP015,2025-12-18,Reorder Required,12.76,214
P0181,Chennai WH,57,32,192,17,49,5,SUP006,2025-10-15,Healthy,29.69,278
P0182,Chennai WH,61,23,156,29,52,7,SUP001,2025-11-20,Healthy,39.1,242
P0183,Coimbatore WH,131,26,188,21,47,4,SUP001,2025-10-15,Healthy,69.68,278
P0184,Coimbatore WH,264,37,268,18,55,4,SUP008,2025-11-20,Healthy,98.51,242
P0185,Coimbatore WH,223,25,271,24,49,6,SUP002,2025-10-15,Healthy,82.29,278
P0186,Coimbatore WH,121,40,156,11,51,4,SUP007,2025-12-18,Healthy,77.56,214
P0187,Coimbatore WH,104,37,283,26,63,3,SUP024,2025-11-02,Healthy,36.75,260
P0188,Coimbatore WH,154,19,286,28,47,5,SUP003,2025-12-05,Healthy,53.85,227
P0189,Coimbatore WH,19,15,235,12,27,7,SUP014,2025-12-05,Reorder Required,8.09,227
P0190,Chennai WH,171,25,236,13,38,5,SUP020,2025-12-18,Healthy,72.46,214
P0191,Coimbatore WH,166,34,279,29,63,7,SUP021,2025-12-18,Healthy,59.5,214
P0192,Coimbatore WH,165,24,176,15,39,6,SUP011,2025-10-15,Healthy,93.75,278
P0193,Chennai WH,101,17,236,25,42,6,SUP023,2025-12-05,Healthy,42.8,227
P0194,Madurai WH,9,24,264,20,44,7,SUP017,2025-10-15,Reorder Required,3.41,278
P0195,Coimbatore WH,226,29,245,14,43,5,SUP005,2025-12-05,Healthy,92.24,227
P0196,Chennai WH,63,38,166,13,51,7,SUP004,2025-12-18,Healthy,37.95,214
P0197,Madurai WH,80,33,167,19,52,8,SUP014,2025-11-20,Healthy,47.9,242
P0198,Coimbatore WH,100,17,248,17,34,3,SUP014,2025-10-15,Healthy,40.32,278
P0199,Madurai WH,171,23,238,17,40,7,SUP007,2025-12-05,Healthy,71.85,227
P0200,Madurai WH,131,17,156,16,33,6,SUP010,2025-11-02,Healthy,83.97,260
P0201,Coimbatore WH,103,25,140,15,40,7,SUP008,2025-12-05,Healthy,73.57,227
P0202,Madurai WH,74,38,143,24,62,5,SUP020,2025-10-15,Healthy,51.75,278
P0203,Coimbatore WH,43,37,245,17,54,10,SUP010,2025-11-20,Reorder Required,17.55,242
P0204,Chennai WH,57,39,243,11,50,6,SUP002,2025-11-20,Healthy,23.46,242
P0205,Chennai WH,32,24,288,14,38,9,SUP025,2025-12-05,Reorder Required,11.11,227
P0206,Chennai WH,37,20,141,10,30,5,SUP018,2025-12-18,Healthy,26.24,214
P0207,Chennai WH,23,32,153,26,58,3,SUP015,2025-12-05,Reorder Required,15.03,227
P0208,Coimbatore WH,177,36,188,26,62,8,SUP016,2025-10-15,Healthy,94.15,278
P0209,Coimbatore WH,162,15,178,29,44,7,SUP020,2025-11-20,Healthy,91.01,242
P0210,Chennai WH,93,38,281,26,64,3,SUP007,2025-11-20,Healthy,33.1,242
P0211,Chennai WH,103,40,139,15,55,10,SUP011,2025-12-18,Healthy,74.1,214
P0212,Chennai WH,36,30,209,27,57,10,SUP025,2025-11-02,Reorder Required,17.22,260
P0213,Chennai WH,225,40,231,28,68,10,SUP007,2025-11-20,Healthy,97.4,242
P0214,Madurai WH,127,36,202,10,46,6,SUP014,2025-10-15,Healthy,62.87,278
P0215,Chennai WH,113,39,264,29,68,10,SUP013,2025-10-15,Healthy,42.8,278
P0216,Madurai WH,26,33,228,27,60,9,SUP007,2025-11-02,Reorder Required,11.4,260
P0217,Coimbatore WH,66,16,157,17,33,6,SUP010,2025-11-02,Healthy,42.04,260
P0218,Coimbatore WH,143,33,205,13,46,3,SUP014,2025-10-15,Healthy,69.76,278
P0219,Madurai WH,209,15,219,20,35,9,SUP019,2025-11-20,Healthy,95.43,242
P0220,Chennai WH,198,33,258,19,52,10,SUP024,2025-11-02,Healthy,76.74,260
P0221,Madurai WH,52,17,212,23,40,4,SUP002,2025-10-15,Healthy,24.53,278
P0222,Madurai WH,79,28,179,15,43,4,SUP012,2025-12-18,Healthy,44.13,214
P0223,Chennai WH,137,39,215,18,57,5,SUP017,2025-12-05,Healthy,63.72,227
P0224,Coimbatore WH,72,32,196,11,43,7,SUP001,2025-10-15,Healthy,36.73,278
P0225,Chennai WH,66,32,144,11,43,8,SUP018,2025-11-02,Healthy,45.83,260
P0226,Chennai WH,22,16,255,27,43,10,SUP010,2025-11-20,Reorder Required,8.63,242
P0227,Chennai WH,159,25,201,27,52,9,SUP018,2025-11-02,Healthy,79.1,260
P0228,Chennai WH,62,40,241,16,56,10,SUP006,2025-11-20,Healthy,25.73,242
P0229,Coimbatore WH,86,28,150,29,57,10,SUP017,2025-10-15,Healthy,57.33,278
P0230,Madurai WH,187,21,287,25,46,5,SUP012,2025-11-20,Healthy,65.16,242
P0231,Chennai WH,23,25,285,27,52,8,SUP021,2025-12-18,Reorder Required,8.07,214
P0232,Madurai WH,131,20,168,20,40,7,SUP011,2025-11-02,Healthy,77.98,260
P0233,Coimbatore WH,175,30,211,19,49,6,SUP025,2025-12-18,Healthy,82.94,214
P0234,Chennai WH,250,26,255,23,49,8,SUP019,2025-12-18,Healthy,98.04,214
P0235,Madurai WH,71,35,269,13,48,9,SUP010,2025-12-05,Healthy,26.39,227
P0236,Chennai WH,31,17,145,18,35,7,SUP016,2025-11-20,Reorder Required,21.38,242
P0237,Coimbatore WH,54,19,146,30,49,8,SUP003,2025-12-05,Healthy,36.99,227
P0238,Madurai WH,112,18,141,30,48,9,SUP006,2025-12-18,Healthy,79.43,214
P0239,Chennai WH,40,22,246,11,33,6,SUP002,2025-10-15,Healthy,16.26,278
P0240,Chennai WH,86,32,189,15,47,4,SUP018,2025-11-02,Healthy,45.5,260
P0241,Chennai WH,82,30,179,22,52,8,SUP005,2025-12-05,Healthy,45.81,227
P0242,Chennai WH,156,22,197,26,48,4,SUP025,2025-12-18,Healthy,79.19,214
P0243,Madurai WH,39,17,196,10,27,4,SUP025,2025-12-05,Healthy,19.9,227
P0244,Chennai WH,13,31,147,23,54,10,SUP003,2025-11-02,Reorder Required,8.84,260
P0245,Chennai WH,132,15,170,22,37,6,SUP010,2025-12-18,Healthy,77.65,214
P0246,Coimbatore WH,235,16,256,22,38,10,SUP010,2025-10-15,Healthy,91.8,278
P0247,Madurai WH,28,19,182,23,42,10,SUP014,2025-11-20,Reorder Required,15.38,242
P0248,Chennai WH,90,31,210,16,47,9,SUP012,2025-10-15,Healthy,42.86,278
P0249,Madurai WH,119,35,147,11,46,9,SUP009,2025-12-18,Healthy,80.95,214
P0250,Madurai WH,38,26,270,20,46,10,SUP011,2025-10-15,Reorder Required,14.07,278
P0251,Coimbatore WH,187,20,219,23,43,9,SUP017,2025-11-20,Healthy,85.39,242
P0252,Coimbatore WH,147,24,182,21,45,10,SUP011,2025-12-05,Healthy,80.77,227
P0253,Chennai WH,51,17,175,18,35,8,SUP007,2025-12-18,Healthy,29.14,214
P0254,Chennai WH,122,25,142,28,53,9,SUP015,2025-11-20,Healthy,85.92,242
P0255,Chennai WH,39,16,117,10,26,10,SUP013,2025-12-18,Healthy,33.33,214
P0256,Chennai WH,162,19,190,20,39,5,SUP022,2025-10-15,Healthy,85.26,278
P0257,Madurai WH,84,38,224,14,52,4,SUP007,2025-12-18,Healthy,37.5,214
P0258,Madurai WH,54,34,215,22,56,10,SUP003,2025-11-20,Reorder Required,25.12,242
P0259,Madurai WH,148,23,186,14,37,9,SUP002,2025-10-15,Healthy,79.57,278
P0260,Chennai WH,59,18,128,17,35,10,SUP013,2025-12-18,Healthy,46.09,214
P0261,Chennai WH,74,17,147,20,37,9,SUP001,2025-12-18,Healthy,50.34,214
P0262,Coimbatore WH,286,21,286,15,36,8,SUP024,2025-11-20,Healthy,100.0,242
P0263,Coimbatore WH,159,26,241,28,54,8,SUP009,2025-12-18,Healthy,65.98,214
P0264,Chennai WH,12,17,182,10,27,9,SUP022,2025-11-20,Reorder Required,6.59,242
P0265,Chennai WH,96,28,210,15,43,8,SUP025,2025-11-02,Healthy,45.71,260
P0266,Coimbatore WH,48,20,208,29,49,8,SUP015,2025-12-18,Reorder Required,23.08,214
P0267,Madurai WH,93,23,195,27,50,8,SUP017,2025-11-02,Healthy,47.69,260
P0268,Chennai WH,116,16,161,21,37,3,SUP005,2025-10-15,Healthy,72.05,278
P0269,Chennai WH,116,17,168,14,31,6,SUP004,2025-11-02,Healthy,69.05,260
P0270,Chennai WH,132,32,141,26,58,3,SUP006,2025-10-15,Healthy,93.62,278
P0271,Coimbatore WH,101,27,291,28,55,6,SUP006,2025-10-15,Healthy,34.71,278
P0272,Madurai WH,180,17,183,25,42,8,SUP003,2025-12-18,Healthy,98.36,214
P0273,Madurai WH,86,39,234,22,61,9,SUP002,2025-10-15,Healthy,36.75,278
P0274,Coimbatore WH,246,37,271,10,47,7,SUP002,2025-12-05,Healthy,90.77,227
P0275,Chennai WH,187,37,243,29,66,8,SUP011,2025-11-20,Healthy,76.95,242
P0276,Chennai WH,188,22,267,24,46,7,SUP001,2025-12-05,Healthy,70.41,227
P0277,Coimbatore WH,2,37,240,10,47,5,SUP024,2025-12-05,Reorder Required,0.83,227
P0278,Coimbatore WH,161,35,248,26,61,5,SUP019,2025-11-20,Healthy,64.92,242
P0279,Coimbatore WH,185,37,282,29,66,10,SUP012,2025-12-18,Healthy,65.6,214
P0280,Madurai WH,163,24,269,26,50,8,SUP009,2025-12-05,Healthy,60.59,227
P0281,Madurai WH,15,39,287,16,55,5,SUP006,2025-11-20,Reorder Required,5.23,242
P0282,Coimbatore WH,20,18,197,29,47,10,SUP011,2025-12-18,Reorder Required,10.15,214
P0283,Coimbatore WH,71,18,253,18,36,5,SUP001,2025-12-05,Healthy,28.06,227
P0284,Madurai WH,104,23,152,12,35,8,SUP002,2025-10-15,Healthy,68.42,278
P0285,Madurai WH,44,38,316,29,67,9,SUP020,2025-11-20,Reorder Required,13.92,242
P0286,Coimbatore WH,104,20,276,30,50,5,SUP016,2025-10-15,Healthy,37.68,278
P0287,Madurai WH,121,37,138,21,58,3,SUP011,2025-12-05,Healthy,87.68,227
P0288,Madurai WH,110,35,281,13,48,10,SUP011,2025-11-02,Healthy,39.15,260
P0289,Coimbatore WH,222,25,269,12,37,7,SUP024,2025-11-02,Healthy,82.53,260
P0290,Coimbatore WH,128,23,213,15,38,4,SUP009,2025-12-18,Healthy,60.09,214
P0291,Chennai WH,21,37,217,19,56,6,SUP016,2025-10-15,Reorder Required,9.68,278
P0292,Chennai WH,205,24,267,14,38,3,SUP016,2025-10-15,Healthy,76.78,278
P0293,Chennai WH,18,35,228,17,52,10,SUP007,2025-12-18,Reorder Required,7.89,214
