ProductID,SKU,ProductName,Category,SubCategory,Brand,Color,Size,Fabric,SeasonalDemandTag,Gender,Price,CostPrice,SupplierID,ProductStatus,ImageURL,ProfitMargin
P0064,KAN-PUTT-0064,Kanchipuram Handloom Puttu Vasti Orange S,Women,Puttu Vasti,Kanchipuram Handloom,Orange,S,Silk,Wedding,Women,8390.0,4742.0,SUP014,Active,images/products/P0064.jpg,43.48
P0065,PRI-GIFT-0065,Prisma Gift Boxes Blue XXL,Kids,Gift Boxes,Prisma,Blue,XXL,Cotton,All Season,Kids,1070.0,740.0,SUP015,Active,images/products/P0065.jpg,30.84
P0066,BIB-KURT-0066,Biba Kurtas Orange S,Women,Kurtas,Biba,Orange,S,Silk,"Diwali, Temple Festival",Women,890.0,557.0,SUP016,Active,images/products/P0066.jpg,37.42
P0067,KAN-PUTT-0067,Kanchipuram Handloom Puttu Vasti Cream XXL,Women,Puttu Vasti,Kanchipuram Handloom,Cream,XXL,Silk,Wedding,Women,16270.0,11629.0,SUP017,Active,images/products/P0067.jpg,28.52
P0068,RAY-SHIR-0068,Raymond Shirts Pink XXL,Men,Shirts,Raymond,Pink,XXL,Linen,"Summer, Independence Day, Republic Day",Men,930.0,653.0,SUP018,Active,images/products/P0068.jpg,29.78
P0069,WES-FROC-0069,Westside Frocks Pink S,Women,Frocks,Westside,Pink,S,Polyester Blend,"Christmas, New Year",Women,2410.0,1671.0,SUP019,Active,images/products/P0069.jpg,30.66
P0070,WES-FROC-0070,Westside Frocks Purple XS,Women,Frocks,Westside,Purple,XS,Cotton,"Christmas, New Year",Women,2490.0,1518.0,SUP020,Active,images/products/P0070.jpg,39.04
P0071,PRI-GIFT-0071,Prisma Gift Boxes CSK Yellow S,Kids,Gift Boxes,Prisma,CSK Yellow,S,Cotton,All Season,Kids,2030.0,1600.0,SUP021,Active,images/products/P0071.jpg,21.18
P0072,FAB-SARE-0072,Fabindia Sarees Red Standard,Women,Sarees,Fabindia,Red,Standard,Silk,"Wedding, Diwali, Navratri",Women,2380.0,1806.0,SUP022,Active,images/products/P0072.jpg,24.12
P0073,PRI-BABY-0073,Prisma Baby Dresses Yellow 0-3 Months,Kids,Baby Dresses,Prisma,Yellow,0-3 Months,Cotton,All Season,Kids,520.0,291.0,SUP023,Active,images/products/P0073.jpg,44.04
P0074,PRI-RAIN-0074,Prisma Raincoats Maroon M,Accessories,Raincoats,Prisma,Maroon,M,Polyester,Monsoon,Unisex,750.0,445.0,SUP024,Active,images/products/P0074.jpg,40.67
P0075,PRI-PANT-0075,Prisma Pants Yellow XL,Men,Pants,Prisma,Yellow,XL,Linen,All Season,Men,680.0,451.0,SUP025,Active,images/products/P0075.jpg,33.68
P0076,FAB-BEDS-0076,Fabindia Bedsheets Purple Single,Home & Lifestyle,Bedsheets,Fabindia,Purple,Single,Cotton,Summer,Unisex,1050.0,630.0,SUP001,Active,images/products/P0076.jpg,40.0
P0077,PRI-UMBR-0077,Prisma Umbrellas Gold L,Accessories,Umbrellas,Prisma,Gold,L,Polyester,Monsoon,Unisex,440.0,278.0,SUP002,Active,images/products/P0077.jpg,36.82
P0078,PRI-SCHO-0078,Prisma School Uniforms Maroon M,Kids,School Uniforms,Prisma,Maroon,M,Cotton,"School Season, Monsoon",Kids,300.0,191.0,SUP003,Active,images/products/P0078.jpg,36.33
P0079,PRI-BABY-0079,Prisma Baby Dresses Orange 6-12 Years,Kids,Baby Dresses,Prisma,Orange,6-12 Years,Cotton,All Season,Kids,440.0,271.0,SUP004,Active,images/products/P0079.jpg,38.41
P0080,FAB-PILL-0080,Fabindia Pillow Covers Orange King,Home & Lifestyle,Pillow Covers,Fabindia,Orange,King,Cotton,All Season,Unisex,790.0,558.0,SUP005,Active,images/products/P0080.jpg,29.37
P0081,PRI-UMBR-0081,Prisma Umbrellas CSK Yellow M,Accessories,Umbrellas,Prisma,CSK Yellow,M,Polyester,Monsoon,Unisex,430.0,287.0,SUP006,Active,images/products/P0081.jpg,33.26
P0082,UAT-LUNG-0082,Uathayam Lungi Pink 9 Yards,Men,Lungi,Uathayam,Pink,9 Yards,Cotton,"Summer, Aadi Sale",Men,780.0,447.0,SUP007,Active,images/products/P0082.jpg,42.69
P0083,FAB-SARE-0083,Fabindia Sarees Purple 9 Yards,Women,Sarees,Fabindia,Purple,9 Yards,Handloom,"Wedding, Diwali, Navratri",Women,7130.0,4388.0,SUP008,Active,images/products/P0083.jpg,38.46
P0084,FAB-PILL-0084,Fabindia Pillow Covers Yellow Single,Home & Lifestyle,Pillow Covers,Fabindia,Yellow,Single,Cotton,All Season,Unisex,740.0,457.0,SUP009,Active,images/products/P0084.jpg,38.24
P0085,RAY-BELT-0085,Raymond Belts Gold XXL,Accessories,Belts,Raymond,Gold,XXL,Leather,All Season,Unisex,230.0,135.0,SUP010,Active,images/products/P0085.jpg,41.3
P0086,UAT-TOWE-0086,Uathayam Towels Gold XS,Accessories,Towels,Uathayam,Gold,XS,Cotton,All Season,Unisex,440.0,253.0,SUP011,Active,images/products/P0086.jpg,42.5
P0087,NET-SOCK-0087,Netplay Socks Black S,Accessories,Socks,Netplay,Black,S,Cotton,"School Season, Winter",Unisex,110.0,69.0,SUP012,Active,images/products/P0087.jpg,37.27
P0088,RAM-TOWE-0088,Ramraj Cotton Towels CSK Yellow S,Accessories,Towels,Ramraj Cotton,CSK Yellow,S,Cotton,All Season,Unisex,350.0,196.0,SUP013,Active,images/products/P0088.jpg,44.0
P0089,UAT-LUNG-0089,Uathayam Lungi Green Standard,Men,Lungi,Uathayam,Green,Standard,Cotton,"Summer, Aadi Sale",Men,460.0,344.0,SUP014,Active,images/products/P0089.jpg,25.22
P0090,BIB-FROC-0090,Biba Frocks RCB Red XXL,Women,Frocks,Biba,RCB Red,XXL,Polyester Blend,"Christmas, New Year",Women,2100.0,1254.0,SUP015,Active,images/products/P0090.jpg,40.29
P0091,FAB-SHRE-0091,Fabindia Shree MI Blue M,Women,Shree,Fabindia,MI Blue,M,Handloom,"Navratri, Wedding",Women,1390.0,969.0,SUP016,Active,images/products/P0091.jpg,30.29
P0092,NET-PANT-0092,Netplay Pants Black XXL,Men,Pants,Netplay,Black,XXL,Linen,All Season,Men,1330.0,1008.0,SUP017,Active,images/products/P0092.jpg,24.21
P0093,PRI-GIFT-0093,Prisma Gift Boxes MI Blue XL,Kids,Gift Boxes,Prisma,MI Blue,XL,Cotton,All Season,Kids,1870.0,1065.0,SUP018,Active,images/products/P0093.jpg,43.05
P0094,WES-BABY-0094,Westside Baby Dresses Black 0-3 Months,Kids,Baby Dresses,Westside,Black,0-3 Months,Cotton,All Season,Kids,990.0,552.0,SUP019,Active,images/products/P0094.jpg,44.24
P0095,FAB-CURT-0095,Fabindia Curtains Blue King,Home & Lifestyle,Curtains,Fabindia,Blue,King,Polyester,All Season,Unisex,1530.0,981.0,SUP020,Active,images/products/P0095.jpg,35.88
P0096,PRI-SCHO-0096,Prisma School Uniforms Purple S,Kids,School Uniforms,Prisma,Purple,S,Polyester Blend,"School Season, Monsoon",Kids,500.0,340.0,SUP021,Active,images/products/P0096.jpg,32.0
P0097,PRI-UMBR-0097,Prisma Umbrellas White M,Accessories,Umbrellas,Prisma,White,M,Polyester,Monsoon,Unisex,410.0,235.0,SUP022,Active,images/products/P0097.jpg,42.68
P0098,PRI-UMBR-0098,Prisma Umbrellas Orange XL,Accessories,Umbrellas,Prisma,Orange,XL,Polyester,Monsoon,Unisex,920.0,552.0,SUP023,Active,images/products/P0098.jpg,40.0
P0099,PRI-GIFT-0099,Prisma Gift Boxes Pink L,Kids,Gift Boxes,Prisma,Pink,L,Cotton,All Season,Kids,2190.0,1235.0,SUP024,Active,images/products/P0099.jpg,43.61
P0100,PRI-RAIN-0100,Prisma Raincoats Green XXL,Accessories,Raincoats,Prisma,Green,XXL,Polyester,Monsoon,Unisex,590.0,397.0,SUP025,Active,images/products/P0100.jpg,32.71
P0101,PRI-BABY-0101,Prisma Baby Dresses Cream 3-6 Months,Kids,Baby Dresses,Prisma,Cream,3-6 Months,Cotton,All Season,Kids,1450.0,1055.0,SUP001,Active,images/products/P0101.jpg,27.24
P0102,RAM-VESH-0102,Ramraj Cotton Veshti Pink 2m,Men,Veshti,Ramraj Cotton,Pink,2m,Cotton,"Pongal, Temple Festival, Summer",Men,1510.0,1096.0,SUP002,Active,images/products/P0102.jpg,27.42
P0103,RAM-TOWE-0103,Ramraj Cotton Towels Purple M,Men,Towels,Ramraj Cotton,Purple,M,Cotton,All Season,Men,110.0,78.0,SUP003,Active,images/products/P0103.jpg,29.09
P0104,RAM-TOWE-0104,Ramraj Cotton Towels RCB Red XS,Men,Towels,Ramraj Cotton,RCB Red,XS,Cotton,All Season,Men,470.0,281.0,SUP004,Active,images/products/P0104.jpg,40.21
P0105,RAM-TOWE-0105,Ramraj Cotton Towels CSK Yellow XS,Accessories,Towels,Ramraj Cotton,CSK Yellow,XS,Cotton,All Season,Unisex,280.0,173.0,SUP005,Active,images/products/P0105.jpg,38.21
P0106,PRI-RAIN-0106,Prisma Raincoats RCB Red L,Accessories,Raincoats,Prisma,RCB Red,L,Polyester,Monsoon,Unisex,1320.0,892.0,SUP006,Active,images/products/P0106.jpg,32.42
P0107,FAB-BEDC-0107,Fabindia Bed Covers RCB Red Double,Home & Lifestyle,Bed Covers,Fabindia,RCB Red,Double,Cotton,Summer,Unisex,1730.0,1167.0,SUP007,Active,images/products/P0107.jpg,32.54
P0108,FAB-CURT-0108,Fabindia Curtains White Single,Home & Lifestyle,Curtains,Fabindia,White,Single,Cotton,All Season,Unisex,1430.0,941.0,SUP008,Active,images/products/P0108.jpg,34.2
P0109,FAB-PUTT-0109,Fabindia Puttu Vasti CSK Yellow XS,Women,Puttu Vasti,Fabindia,CSK Yellow,XS,Silk,Wedding,Women,18800.0,13982.0,SUP009,Active,images/products/P0109.jpg,25.63
P0110,UAT-TOWE-0110,Uathayam Towels Black XXL,Accessories,Towels,Uathayam,Black,XXL,Cotton,All Season,Unisex,280.0,180.0,SUP010,Active,images/products/P0110.jpg,35.71
P0111,FAB-PILL-0111,Fabindia Pillow Covers Yellow Double,Home & Lifestyle,Pillow Covers,Fabindia,Yellow,Double,Cotton,All Season,Unisex,380.0,218.0,SUP011,Active,images/products/P0111.jpg,42.63
P0112,GUE-IPLJ-0112,Guess IPL Jerseys RCB Red M,Accessories,IPL Jerseys,Guess,RCB Red,M,Polyester,IPL Season,Unisex,910.0,581.0,SUP012,Active,images/products/P0112.jpg,36.15
P0113,UAT-VESH-0113,Uathayam Veshti Red 9 Yards,Men,Veshti,Uathayam,Red,9 Yards,Cotton,"Pongal, Temple Festival, Summer",Men,730.0,506.0,SUP013,Active,images/products/P0113.jpg,30.68
P0114,UAT-POLI-0114,Uathayam Political Veshti Cream 9 Yards,Men,Political Veshti,Uathayam,Cream,9 Yards,Cotton,"Political Campaign, Independence Day",Men,1140.0,858.0,SUP014,Active,images/products/P0114.jpg,24.74
P0115,FAB-CURT-0115,Fabindia Curtains Black Single,Home & Lifestyle,Curtains,Fabindia,Black,Single,Polyester,All Season,Unisex,1850.0,1165.0,SUP015,Active,images/products/P0115.jpg,37.03
P0116,PRI-RAIN-0116,Prisma Raincoats CSK Yellow M,Accessories,Raincoats,Prisma,CSK Yellow,M,Polyester,Monsoon,Unisex,560.0,362.0,SUP016,Active,images/products/P0116.jpg,35.36
P0117,RAM-VESH-0117,Ramraj Cotton Veshti Orange 2m,Men,Veshti,Ramraj Cotton,Orange,2m,Cotton,"Pongal, Temple Festival, Summer",Men,1050.0,679.0,SUP017,Active,images/products/P0117.jpg,35.33
P0118,WES-FROC-0118,Westside Frocks Maroon L,Women,Frocks,Westside,Maroon,L,Polyester Blend,"Christmas, New Year",Women,930.0,628.0,SUP018,Active,images/products/P0118.jpg,32.47
P0119,GUE-IPLJ-0119,Guess IPL Jerseys Gold L,Accessories,IPL Jerseys,Guess,Gold,L,Polyester,IPL Season,Unisex,1090.0,807.0,SUP019,Active,images/products/P0119.jpg,25.96
P0120,RAM-TOWE-0120,Ramraj Cotton Towels Blue XL,Men,Towels,Ramraj Cotton,Blue,XL,Cotton,All Season,Men,160.0,96.0,SUP020,Active,images/products/P0120.jpg,40.0
P0121,FAB-BEDC-0121,Fabindia Bed Covers Yellow King,Home & Lifestyle,Bed Covers,Fabindia,Yellow,King,Cotton,Summer,Unisex,1430.0,859.0,SUP021,Active,images/products/P0121.jpg,39.93
P0122,KAN-PUTT-0122,Kanchipuram Handloom Puttu Vasti Cream XS,Women,Puttu Vasti,Kanchipuram Handloom,Cream,XS,Silk,Wedding,Women,10550.0,7186.0,SUP022,Active,images/products/P0122.jpg,31.89
P0123,KAN-PUTT-0123,Kanchipuram Handloom Puttu Vasti Cream XXL,Women,Puttu Vasti,Kanchipuram Handloom,Cream,XXL,Silk,Wedding,Women,10720.0,7827.0,SUP023,Active,images/products/P0123.jpg,26.99
P0124,PRI-BABY-0124,Prisma Baby Dresses Red 3-6 Months,Kids,Baby Dresses,Prisma,Red,3-6 Months,Cotton,All Season,Kids,580.0,360.0,SUP024,Active,images/products/P0124.jpg,37.93
P0125,FAB-BEDS-0125,Fabindia Bedsheets Cream Single,Home & Lifestyle,Bedsheets,Fabindia,Cream,Single,Cotton,Summer,Unisex,940.0,748.0,SUP025,Active,images/products/P0125.jpg,20.43
P0126,BIB-KURT-0126,Biba Kurtas White XL,Women,Kurtas,Biba,White,XL,Cotton,"Diwali, Temple Festival",Women,1940.0,1111.0,SUP001,Active,images/products/P0126.jpg,42.73
P0127,FAB-PUTT-0127,Fabindia Puttu Vasti Maroon L,Women,Puttu Vasti,Fabindia,Maroon,L,Silk,Wedding,Women,12900.0,7121.0,SUP002,Active,images/products/P0127.jpg,44.8
P0128,NET-SOCK-0128,Netplay Socks Red L,Accessories,Socks,Netplay,Red,L,Cotton,"School Season, Winter",Unisex,230.0,130.0,SUP003,Active,images/products/P0128.jpg,43.48
P0129,PRI-GIFT-0129,Prisma Gift Boxes Maroon L,Kids,Gift Boxes,Prisma,Maroon,L,Cotton,All Season,Kids,2100.0,1548.0,SUP004,Active,images/products/P0129.jpg,26.29
